ham	Thinkin about someone is all good. No drugs for that
ham	Am not interested to do like that.
ham	Thanks. Fills me with complete calm and reassurance! 
ham	Buy one egg for me da..please:)
ham	No. Yes please. Been swimming?
ham	Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?
ham	Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(
ham	Lol. Well quality aint bad at all so i aint complaining
ham	Ok... Sweet dreams...
ham	If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
ham	Yar... I tot u knew dis would happen long ago already.
ham	Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
ham	I can. But it will tell quite long, cos i haven't finish my film yet...
ham	Ok both our days. So what are you making for dinner tonite? Am I invited?
ham	So what u doing today?
ham	Y so late but i need to go n get da laptop...
ham	To day class is there are no class.
ham	I‘m parked next to a MINI!!!! When are you coming in today do you think?
ham	I HAVE A DATE ON SUNDAY WITH WILL!!
ham	I love to give massages. I use lots of baby oil... What is your fave position?
ham	Watching ajith film ah?
ham	Dare i ask... Any luck with sorting out the car?
ham	Wat time do u wan 2 meet me later?
ham	Tee hee. Off to lecture, cheery bye bye.
ham	Single line with a big meaning::::: "Miss anything 4 ur "Best Life" but, don't miss ur best life for anything... Gud nyt...
ham	Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.
ham	Love it! I want to flood that pretty pussy with cum...
ham	Then i buy.
ham	I know you are. Can you pls open the back?
ham	Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
ham	You do what all you like
ham	Can you do a mag meeting this avo at some point?
ham	Really? I crashed out cuddled on my sofa.
ham	Haha... Sounds crazy, dunno can tahan anot...
ham	Oh is it! Which brand?
ham	How r ü going to send it to me?
ham	how tall are you princess?
ham	Dude got a haircut. Now its breezy up there
ham	R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
ham	Can you say what happen
ham	Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham	Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
ham	Sir, Waiting for your mail.
ham	Well, i'm glad you didn't find it totally disagreeable ... Lol
ham	U having lunch alone? I now so bored...
ham	Hey happy birthday...
ham	Why you Dint come with us.
ham	Hahaha..use your brain dear
ham	Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.
ham	Yes, princess. Toledo.
ham	Oh baby of the house. How come you dont have any new pictures on facebook
ham	Hi:)did you asked to waheeda fathima about leave?
ham	K.k:)apo k.good movie.
ham	Mah b, I'll pick it up tomorrow
ham	Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
ham	Was actually about to send you a reminder today. Have a wonderful weekend
